Equipment Name,Serial Number,Manufacturer,Plant Location,Date Manufactured,Date in Service,Date,Maintenance Description,Maintenance Performed By,Validated By,Date of Validation,Next Activity Due On,Temperature (°C),Elongation (%),Energy Consumption (kWh),Pressure (Bar),Vibration (mm/s),Cooling Rate (°C/min),Remarks
Cooling System B,SN-8603,CoolPro,Plant 3,2020-05-03,2024-05-11,2024-06-17 02:32:13,Replaced thermostat,Technician-32,Supervisor A,2024-09-09,2025-05-01,1155.35,11.55,745.17,74.2,1.73,53.02,Issue resolved
Conveyor Belt D,SN-6653,ConveyorKing,Plant 3,2022-07-24,2024-03-07,2024-03-17 14:26:04,Balanced load,Technician-12,Technician C,2024-12-22,2025-05-10,1686.16,7.88,956.67,69.49,2.46,44.42,Scheduled follow-up maintenance
Furnace A,SN-6485,CoolPro,Plant 3,2019-09-10,2023-08-20,2024-03-17 12:10:17,Balanced load,Technician-28,Supervisor A,2024-04-24,2025-04-09,1417.21,11.45,944.82,175.04,1.5,62.29,Operating within normal parameters
Furnace A,SN-4543,ConveyorKing,Plant 3,2023-04-14,2024-05-03,2024-07-12 20:06:47,Installed surge protector,Technician-41,Technician C,2024-03-20,2025-01-31,1009.32,5.39,1155.82,97.39,3.2,20.25,Operating within normal parameters
Furnace A,SN-3426,ConveyorKing,Plant 3,2023-06-23,2023-12-25,2024-10-12 05:38:55,Replaced seals,Technician-46,Supervisor A,2024-03-23,2025-06-13,1369.3,10.62,938.61,160.62,4.77,36.36,Scheduled follow-up maintenance
Conveyor Belt D,SN-9365,ConveyorKing,Plant 3,2020-06-14,2024-04-24,2024-12-13 01:26:29,Cleared cooling channels,Technician-26,Supervisor A,2024-09-06,2025-02-02,1417.9,13.71,957.87,168.04,4.62,52.9,Scheduled follow-up maintenance
Cooling System B,SN-2513,ConveyorKing,Plant 1,2023-06-27,2023-11-08,2024-08-18 06:18:47,Cleared cooling channels,Technician-32,Supervisor A,2024-11-14,2025-06-15,1223.49,5.72,506.79,153.84,4.74,54.84,Operating within normal parameters
Hydraulic Press C,SN-9724,ConveyorKing,Plant 3,2019-09-07,2024-05-16,2024-06-27 13:28:43,Replaced seals,Technician-36,Technician C,2024-10-18,2025-03-04,1017.66,14.47,1284.13,127.82,1.37,72.32,Operating within normal parameters
Hydraulic Press C,SN-6670,PressMaster,Plant 1,2022-12-21,2023-09-25,2024-03-29 04:39:47,Balanced load,Technician-33,Engineer B,2024-11-20,2025-03-14,1014.67,13.09,1053.97,63.43,3.32,55.27,Scheduled follow-up maintenance
Furnace A,SN-3067,SteelTech,Plant 1,2023-01-28,2023-11-10,2024-07-11 11:32:00,Installed surge protector,Technician-18,Engineer B,2024-08-26,2025-03-17,1455.95,6.86,815.71,105.61,1.49,38.25,Further inspection required
Hydraulic Press C,SN-8740,SteelTech,Plant 3,2021-04-13,2024-08-18,2024-06-14 14:04:00,Cleared cooling channels,Technician-32,Supervisor A,2024-09-12,2025-03-09,1025.12,9.74,1436.64,169.39,1.6,69.47,Further inspection required
Hydraulic Press C,SN-9377,PressMaster,Plant 1,2022-05-18,2023-11-10,2024-11-05 00:37:51,Replaced rollers,Technician-33,Technician C,2024-09-21,2025-05-22,1502.27,8.78,1102.48,152.66,3.64,79.68,Scheduled follow-up maintenance
